date;hour;value
05/03/2022;11;630
05/03/2022;12;562
05/03/2022;13;575
05/03/2022;14;388
05/03/2022;15;504
05/03/2022;16;400
05/03/2022;17;359
05/03/2022;18;354
05/03/2022;19;396
05/03/2022;20;239
05/03/2022;21;131
05/03/2022;22;70
05/03/2022;23;65
05/03/2022;24;19
06/03/2022;9;86
06/03/2022;10;189
06/03/2022;11;234
06/03/2022;12;230
06/03/2022;13;193
06/03/2022;14;155
06/03/2022;15;172
06/03/2022;16;140
06/03/2022;17;165
06/03/2022;18;190
06/03/2022;19;235
06/03/2022;20;167
06/03/2022;21;121
06/03/2022;22;120
06/03/2022;23;63
06/03/2022;24;14
07/03/2022;9;275
07/03/2022;10;724
07/03/2022;11;948
07/03/2022;12;826
07/03/2022;13;832
07/03/2022;14;596
07/03/2022;15;667
07/03/2022;16;612
07/03/2022;17;623
07/03/2022;18;748
07/03/2022;19;692
07/03/2022;20;484
07/03/2022;21;277
07/03/2022;22;143
07/03/2022;23;61
07/03/2022;24;22
08/03/2022;9;269
08/03/2022;10;621
08/03/2022;11;786
08/03/2022;12;811
08/03/2022;13;636
08/03/2022;14;423
08/03/2022;15;594
08/03/2022;16;479
08/03/2022;17;561
08/03/2022;18;550
08/03/2022;19;618
08/03/2022;20;423
08/03/2022;21;229
08/03/2022;22;145
08/03/2022;23;49
08/03/2022;24;7
09/03/2022;9;334
09/03/2022;10;771
09/03/2022;11;950
09/03/2022;12;988
09/03/2022;13;1.026
09/03/2022;14;605
09/03/2022;15;787
09/03/2022;16;805
09/03/2022;17;919
09/03/2022;18;868
09/03/2022;19;960
09/03/2022;20;638
09/03/2022;21;380
09/03/2022;22;201
09/03/2022;23;87
09/03/2022;24;37
10/03/2022;9;365
10/03/2022;10;732
10/03/2022;11;826
10/03/2022;12;888
10/03/2022;13;822
10/03/2022;14;613
10/03/2022;15;661
10/03/2022;16;526
10/03/2022;17;474
10/03/2022;18;469
10/03/2022;19;545
10/03/2022;20;447
10/03/2022;21;340
10/03/2022;22;247
10/03/2022;23;177
10/03/2022;24;111
11/03/2022;9;254
11/03/2022;10;875
11/03/2022;11;849
11/03/2022;12;705
11/03/2022;13;762
11/03/2022;14;555
11/03/2022;15;632
11/03/2022;16;615
11/03/2022;17;519
11/03/2022;18;606
11/03/2022;19;663
11/03/2022;20;419
11/03/2022;21;251
11/03/2022;22;127
11/03/2022;23;76
11/03/2022;24;18
12/03/2022;9;188
12/03/2022;10;431
12/03/2022;11;542
12/03/2022;12;534
12/03/2022;13;425
12/03/2022;14;386
12/03/2022;15;374
12/03/2022;16;346
12/03/2022;17;337
12/03/2022;18;295
12/03/2022;19;357
12/03/2022;20;235
12/03/2022;21;160
12/03/2022;22;78
12/03/2022;23;30
12/03/2022;24;17
13/03/2022;9;70
13/03/2022;10;168
13/03/2022;11;268
13/03/2022;12;260
13/03/2022;13;235
13/03/2022;14;160
13/03/2022;15;188
13/03/2022;16;1
13/03/2022;17;294
13/03/2022;18;154
13/03/2022;19;136
13/03/2022;20;135
13/03/2022;21;72
13/03/2022;22;86
13/03/2022;23;47
13/03/2022;24;19
14/03/2022;9;316
14/03/2022;10;681
14/03/2022;11;878
14/03/2022;12;831
14/03/2022;13;808
14/03/2022;14;630
14/03/2022;15;631
14/03/2022;16;582
14/03/2022;17;733
14/03/2022;18;724
14/03/2022;19;785
14/03/2022;20;546
14/03/2022;21;281
14/03/2022;22;213
14/03/2022;23;79
14/03/2022;24;22
15/03/2022;9;344
15/03/2022;10;762
15/03/2022;11;950
15/03/2022;12;781
15/03/2022;13;900
15/03/2022;14;673
15/03/2022;15;762
15/03/2022;16;767
15/03/2022;17;756
15/03/2022;18;775
15/03/2022;19;738
15/03/2022;20;511
15/03/2022;21;308
15/03/2022;22;162
15/03/2022;23;76
15/03/2022;24;22
16/03/2022;9;360
16/03/2022;10;681
16/03/2022;11;937
